BA partnum,Part description,RB pattern 1,RB pattern 2,RB pattern 3,RB pattern 4
3626pb,Minifig face printed,3626?pr**,28621pr**,,
973,Minifig Torso,973c**h**pr**,973g**c**h**pr**,973?**pr**,
73200,Minifig Legs,970?**pr**,970l**r**pr**,970?**,
37364,Minifig Legs Medium,37364c**,37364c**pr**,37364c**pat**,
92198,Minidoll head,92198pr**,,,
73152,"Minidoll torso, woman","
92816c**pr**",92456c**pr**,,
73441,"Minidoll torso, man","
92815c**pr**",,,
73141,"Minidoll torso, girl",92816c**pr**,,,
73161,"Minidoll torso, boy",92815c**pr**,,,
11407,Minidoll skirt,11407c**pr**,92818c**pr**,,
93552,Paint brush,93552pr**,93552pat**,,
90463,Equipment Magnifying Glass,30152pat**,38648pat**,10830pat**,
22385,"2×3 Tile, Pentagonal",22385pr**,,,
98382,Teddy Bear,98382pr**,None,None,None
